Latitude (degs), Longitude (degs)
64.860000,-147.850000
26.730000,-82.030000
67.880000,21.070000
29.000000,-81.000000
42.000000,13.550000
-25.640000,28.080000
68.400000,-133.500000
-77.810000,166.690000
-63.320000,-57.900000
-53.000000,-71.000000
-33.130000,-70.670000
78.220000,15.390000
-29.050000,114.900000
37.940000,-75.490000
47.840000,11.140000
19.820000,-155.470000
35.690000,139.690000
1.350000,103.820000
-72.100000,2.320000
70.370000,31.100000
69.650000,18.960000
58.340000,8.590000
38.690000,-4.110000
25.200000,55.270000
-20.350000,57.550000
8.540000,-80.780000
4.840000,10.100000
-46.020000,167.810000
5.160000,-52.650000
50.000000,5.160000
40.460000,4.460000
40.260000,-3.570000
27.450000,-15.380000
36.590000,-25.080000
-25.780000,-69.400000
50.120000,9.920000
-31.800000,115.890000
28.550000,77.290000
13.130000,80.170000
30.580000,104.110000
-6.340000,106.860000
55.020000,82.840000
-22.980000,-43.350000
9.010000,38.760000
-22.260000,166.400000
13.420000,144.750000
-15.970000,-5.710000
-4.630000,55.450000
-8.840000,13.230000
13.100000,-59.630000
59.650000,-151.540000
64.180000,-51.740000
43.060000,141.340000
-34.930000,138.600000
5.560000,-0.200000
6.520000,3.380000
-12.250000,-76.880000
-22.850000,-47.210000
11.830000,42.590000
24.450000,54.380000
22.320000,114.180000
48.090000,-119.780000
34.050000,-118.240000
34.150000,-99.270000
24.860000,67.100000
50.450000,30.520000
-32.230000,148.630000
39.740000,-104.990000
35.360000,128.410000
38.250000,-122.280000
45.420000,-75.700000
62.450000,-114.370000
47.560000,-52.710000
63.750000,-68.520000
52.130000,-106.670000
19.430000,-99.130000
14.550000,-23.310000
